Time Passed (days),Orbital Period (days),Barycentric X Position of Alpha A (m),Barycentric Y Position of Alpha A (m),Barycentric X Position of Alpha B (m),Barycentric Y Position of Alpha B (m),Scalar Distance Between Both Masses (m),Radius of Alpha A from the Barycenter (m),Radius of Alpha B from the Barycenter (m),Orbital Velocity of Alpha A (m/s),Orbital Velocity of Alpha B (m/s),Kinetic Energy of Alpha A (J),Kinetic Energy of Alpha B (J),Relative Kinetic Energy Within the System (J),Gravitational Potential Energy (J),Total Mechanical Energy Within the System (J),Acceleration of Alpha A (m/s/s),Acceleration of Alpha B (m/s/s),Relative Net Acceleration (m/s/s)
15665.49536312622,29143.0723794471,-2367208223878.6484,-207511336947.27686,2864191165908.4194,251077252991.45648,5251461041489.93,2376286121274.1934,2875174920215.7363,7491.816407205004,6810.8976829901485,6.145940782179638e+37,4.198143615958532e+37,1.0344084398138169e+38,-5.037885182995456e+37,-3.779465395714286e+37,4.3805032065818115e-06,5.300166863212247e-06,9.68067006979406e-06
15694.66760775029,29143.0723794471,-2365067082908.1587,-212913642551.1731,2861600503629.2085,257613744302.24814,5247804310560.699,2374631450528.7163,2873172860031.983,7502.2586232082,6820.390823360361,6.163085347220448e+37,4.2098546539957286e+37,1.0372940001216176e+38,-5.041395639841093e+37,-3.779465395714286e+37,4.3866101044343135e-06,5.307555872216103e-06,9.694165976650417e-06
15723.839852374362,29143.0723794471,-2362872287545.037,-218305764190.59723,2858944922499.243,264137913578.67834,5244056338115.96,2372935492997.472,2871120845118.488,7512.961409037974,6830.120850799296,6.180682510139477e+37,4.221874850705359e+37,1.0402557360844835e+38,-5.044998768931034e+37,-3.779465395714286e+37,4.392882641554949e-06,5.31514529558306e-06,9.708027937138008e-06
15753.012096998433,29143.0723794471,-2360624041602.0967,-223687460864.0827,2856224669120.7686,270649469222.2879,5240217502262.481,2371198419773.773,2869019082488.7085,7523.923720201098,6840.08681574597,6.198732382140818e+37,4.234204282048237e+37,1.0432936664189055e+38,-5.048694593035007e+37,-3.779465395714286e+37,4.399321203412453e-06,5.32293559970899e-06,9.722256803121443e-06
15782.184341622506,29143.0723794471,-2358322553377.7803,-229058493307.75415,2853439995523.391,277148121737.00635,5236288189475.815,2369420405737.8066,2866867783738.009,7535.14449313461,6850.287751302893,6.217235077299643e+37,4.2468430259463657e+37,1.046407810324601e+38,-5.052483135510622e+37,-3.779465395714286e+37,4.405926185513571e-06,5.330927263135205e-06,9.736853448648776e-06
15811.356586246577,29143.0723794471,-2355968035602.901,-234418624030.54575,2850591159099.6426,283633583771.7653,5232268794504.966,2367601629513.497,2864667164991.4688,7546.6226457101975,6860.722673694599,6.236190712563685e+37,4.259791162283918e+37,1.0495981874847602e+38,-5.056364420303655e+37,-3.779465395714286e+37,4.4126979934148055e-06,5.339120776562665e-06,9.75181876997747e-06
15840.528830870646,29143.0723794471,-2353560705386.4116,-239767617348.82025,2847678422539.36,290105570162.3847,5228159720275.321,2365742273424.583,2862417446850.7383,7558.357077742156,6871.390582729423,6.255599407754717e+37,4.273048772908245e+37,1.0528648180662962e+38,-5.060338471948363e+37,-3.779465395714286e+37,4.419637042734455e-06,5.34751664286655e-06,9.767153685601005e-06
15869.701075494717,29143.0723794471,-2351100784160.2285,-245105239420.34314,2844702053762.9287,296563797972.68036,5223961377789.906,2363842523449.9326,2860118854339.9736,7570.346671498398,6882.29046226409,6.275461285570023e+37,4.2866159416309e+37,1.0562077227200923e+38,-5.064405315567784e+37,-3.779465395714286e+37,4.4267437591649405e-06,5.356115377111171e-06,9.78285913627611e-06
15898.873320118788,29143.0723794471,-2348588497623.1196,-250431258277.65204,2841662325853.3877,303007986534.8386,5219674186028.97,2361902569178.109,2857771616850.861,7582.590292214104,6893.421280670668,6.295776471583963e+37,4.300492754228693e+37,1.0596269225812656e+38,-5.06856497687405e+37,-3.779465395714286e+37,4.434018578485451e-06,5.36491750656527e-06,9.798936085050721e-06
15928.04556474286,29143.0723794471,-2346024075683.706,-255745443860.76965,2838559516987.4673,309437857488.9975,5215298571847.997,2359922603761.2188,2855375968086.7783,7595.086788607437,6904.781991305406,6.316545094249476e+37,4.314679298444718e+37,1.0631224392694193e+38,-5.072817482168705e+37,-3.779465395714286e+37,4.4414619465748546e-06,5.373923570717642e-06,9.815385517292497e-06
